Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
100,RU,1586765141,96,102.5,71.97,23.18,7.14
23,RU,1586765141,95,-173.3,64.38,22.03,2.35
8,NZ,1586765142,86,173.78,-35.1,61.0,4.0
20,RU,1586765142,66,30.79,59.7,52.0,8.95
0,AU,1586764895,74,113.63,-24.87,84.2,17.22
7,PF,1586765142,75,-134.97,-23.12,77.11,14.12
90,RU,1586765143,79,73.83,57.13,46.76,7.02
20,ZA,1586764934,77,18.42,-33.93,64.0,2.24
90,US,1586765143,92,-156.79,71.29,21.2,6.93
75,AU,1586765143,71,147.33,-42.88,57.99,6.93
100,BR,1586765144,95,-43.46,-2.6,74.73,3.06
68,ZA,1586765144,73,19.23,-34.42,64.99,7.11
22,PF,1586765144,70,-139.03,-9.8,82.0,3.02
0,SA,1586765144,33,43.98,26.33,77.0,18.34
98,GF,1586765144,91,-54.38,4.25,71.37,1.32
76,MA,1586765144,65,-9.24,32.3,62.74,5.35
100,RU,1586764893,94,179.32,63.05,13.6,4.34
20,TO,1586765145,83,-175.2,-21.2,73.4,4.7
100,RU,1586765145,95,80.55,73.51,19.06,13.56
75,LA,1586765145,45,102.42,18.5,82.4,6.93
0,IN,1586765145,7,75.65,20.3,102.49,5.46
98,RU,1586765145,81,62.35,59.43,46.65,9.75
20,LK,1586764997,70,79.85,6.93,89.6,4.7
51,ID,1586765145,71,102.27,-3.8,84.83,5.61
33,BR,1586765146,67,-42.03,-22.97,72.63,4.88
0,BO,1586765146,67,-63.47,-18.83,58.06,2.62
100,NZ,1586764897,91,168.86,-46.19,39.0,8.01
90,BR,1586764890,78,-40.29,-20.33,73.4,10.29
96,CN,1586765146,30,88.12,47.87,57.79,2.46
5,CL,1586765146,72,-73.65,-37.62,47.57,7.78
20,CA,1586765030,76,-97.86,55.74,-9.4,2.24
5,CA,1586764851,84,-114.35,62.46,1.0,6.93
2,EG,1586765147,67,27.25,31.35,60.8,4.29
22,CL,1586765147,54,-70.2,-22.09,65.44,2.95
90,CA,1586764959,84,-63.57,44.65,39.0,10.29
0,NE,1586765147,9,3.32,14.35,97.34,16.51
100,UY,1586765148,94,-54.33,-34.48,56.7,6.49
24,CN,1586765148,46,115.03,33.43,71.91,5.3
44,AR,1586765148,62,-60.44,-26.79,58.93,4.43
57,PK,1586765148,58,62.33,25.12,82.33,10.36
77,BZ,1586765148,96,-88.83,17.83,75.99,5.01
74,AU,1586764922,53,117.13,-20.78,86.38,6.42
90,US,1586765149,100,-79.24,42.1,57.2,11.41
